Comment,Designator,Footprint,LCSC Part #
0.1uF Unpolarized capacitor,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678 
10uF Polarized capacitor,C2,CP_Elec_5x5.3,C249452
22uF Polarized capacitor,C3,CP_Elec_5x5.3,C249477
10uF Unpolarized capacitor,"C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
D_Schottky Schottky diode,D1,D_SMA_Handsoldering,C22452
"Polyfuse Resettable fuse, polymeric positive temperature coefficient",F1,Fuse_Bourns_MF-RHT050,
M3_MountingHole_Pad Mounting Hole with connection,"H1,H2,H3,H4",MountingHole_3.2mm_M3_Pad_Via,
"RJ45 RJ connector, 8P8C (8 positions 8 connected)",J1,RJ45_Amphenol_54602-x08_Horizontal,C86586
"JST 1x8 Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",J2,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,C5663
"Screw_Terminal_01x02 Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J3,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",C557685 
"JUMPER Jumper, normally open, small symbol",JP1,PinHeader_1x03_P2.54mm_Vertical,
120R Resistor,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
10K Resistor,"R2,R3,R4,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
20K Resistor,"R6,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4328
"SW_DIP_x02 2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW1,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,C99421
"5V 1A Step-Down DC/DC-Regulator, 7-28V input, 5V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, SIP3",U1,Converter_DCDC_RECOM_R-78E-0.5_THT,
RS-485 IC ,U2,DIP-8_W7.62mm_Socket,C72124
"3.3V 1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",U3,SOT-223,C6186
